input,response
cant see future,"Depression makes future seem impossible. This is a symptom, not reality. Please get help."
no future,You have a future. Depression distorts this. Reach out for help to see it again.
pointless to try,Feeling like trying is pointless indicates severe depression. You need immediate professional help.
why bother,Why bother? Because you matter and can feel better. Please reach out for support.
whats the use,The use is that you deserve to feel better. You can. Please don't give up.
feeling down,Thank you for sharing. Feeling down is difficult. Tell me more about what's happening.
feeling low,Thank you for sharing. Feeling low is difficult. Tell me more about what's happening.
feeling blue,Thank you for sharing. Feeling blue is difficult. Tell me more about what's happening.
feeling off,Thank you for sharing. Feeling off is difficult. Tell me more about what's happening.
feeling weird,Thank you for sharing. Feeling weird is difficult. Tell me more about what's happening.
feeling strange,Thank you for sharing. Feeling strange is difficult. Tell me more about what's happening.
feeling different,Thank you for sharing. Feeling different is difficult. Tell me more about what's happening.
feeling wrong,Thank you for sharing. Feeling wrong is difficult. Tell me more about what's happening.
feeling bad,Thank you for sharing. Feeling bad is difficult. Tell me more about what's happening.
feeling awful,Thank you for sharing. Feeling awful is difficult. Tell me more about what's happening.
feeling terrible,Thank you for sharing. Feeling terrible is difficult. Tell me more about what's happening.
feeling horrible,Thank you for sharing. Feeling horrible is difficult. Tell me more about what's happening.
i need help with anxiety,I'm here to support you with anxiety. What specifically would be most helpful?
i need help with depression,I'm here to support you with depression. What specifically would be most helpful?
i need help with stress,I'm here to support you with stress. What specifically would be most helpful?
i need help with sleep,I'm here to support you with sleep. What specifically would be most helpful?
i need help with worry,I'm here to support you with worry. What specifically would be most helpful?
i need help with fear,I'm here to support you with fear. What specifically would be most helpful?
i need help with sadness,I'm here to support you with sadness. What specifically would be most helpful?
i need help with anger,I'm here to support you with anger. What specifically would be most helpful?
i need help with grief,I'm here to support you with grief. What specifically would be most helpful?
i need help with trauma,I'm here to support you with trauma. What specifically would be most helpful?
i have panic attacks,Thank you for sharing about panic attacks. How long have you been experiencing this?
i have nightmares,Thank you for sharing about nightmares. How long have you been experiencing this?
i have flashbacks,Thank you for sharing about flashbacks. How long have you been experiencing this?
i have insomnia,Thank you for sharing about insomnia. How long have you been experiencing this?
i have headaches,Thank you for sharing about headaches. How long have you been experiencing this?
i have fatigue,Thank you for sharing about fatigue. How long have you been experiencing this?
i have low energy,Thank you for sharing about low energy. How long have you been experiencing this?
i have poor concentration,Thank you for sharing about poor concentration. How long have you been experiencing this?
i have memory problems,Thank you for sharing about memory problems. How long have you been experiencing this?
i have mood swings,Thank you for sharing about mood swings. How long have you been experiencing this?
struggling at work,Work struggles affect wellbeing. What's the main challenge at work?
school is overwhelming,Academic overwhelm is real. What specific aspect is most overwhelming?
cant focus on studies,Concentration problems interfere with academics. Addressing mental health often helps focus.
procrastinating everything,Procrastination often comes from anxiety or perfectionism. What makes it hard to start?
avoiding responsibilities,Avoidance provides short-term relief but increases long-term stress. What feels hardest to face?
hiding from people,Social withdrawal is common with depression and anxiety. What makes interaction hard?
canceling plans,Canceling plans might signal depression or social anxiety. What makes it hard to follow through?
making excuses,Making excuses to avoid things suggests anxiety or depression. What are you really avoiding?
lying about how im doing,Hiding struggles is exhausting. Who could you be honest with?
pretending im fine,The 'I'm fine' mask is heavy. What would happen if you were honest?
fake smile,Smiling through pain is exhausting. Where can you drop the mask?
hiding my pain,Hiding pain is isolating. Sharing it reduces its power. Who feels safe?
suffering in silence,Suffering alone makes it worse. Your pain deserves to be heard. Will you share it?
nobody knows,Keeping struggles secret is lonely. Who could you tell? What holds you back?
afraid to tell anyone,Fear of sharing is common. What's the worst you imagine happening if you do?
scared of judgment,Fear of judgment keeps us isolated. Most people are more understanding than we expect.
worried what people think,Others' opinions matter less than your wellbeing. What do YOU think you need?
dont want to burden,You're not a burden. People who care want to help. Let them.
dont want to bother,Your needs aren't bothersome. They're valid. People want to support you.
should handle this alone,'Should' is often based on unfair expectations. You don't have to do this alone.
weakness to ask for help,"Asking for help is strength and wisdom, not weakness. Strong people ask for help."
failed if i get help,"Seeking help is success, not failure. It takes courage and wisdom."
therapy is for weak people,Therapy is for anyone wanting to improve their life. It takes strength to go.
medication means im weak,Medication corrects brain chemistry. Would you judge someone with diabetes for taking insulin?
ashamed of mental illness,"Mental illness isn't shameful. It's a health condition, like any other."
embarrassed about depression,"Depression is medical, not character flaw. 1 in 5 people experience it."
hiding my anxiety,Hiding anxiety is exhausting. Talking about it reduces shame and helps management.
secret panic attacks,Secret panic attacks sound lonely. Sharing about them can help.
nobody knows i self harm,"Self-harm needs professional help. Please tell someone safe - a therapist, doctor, or trusted person."
hiding my struggles,Hiding struggles prevents getting help. What would make it safe to share?
living a lie,Hiding who you are or what you're experiencing is exhausting. Authenticity heals.
two different people,Presenting differently to different people is exhausting. Where can you be fully yourself?
exhausted from pretending,Pretending takes enormous energy. What would happen if you stopped?
tired of fighting,Fighting mental illness is exhausting. Rest isn't giving up. What do you need?
battle every day,Daily battles wear you down. You're a warrior. But warriors also need rest and support.
constant struggle,Constant struggle without relief is unsustainable. What changes would help?
never ending,"It feels never-ending, but conditions can improve with right support. Don't lose hope."
no relief,Lack of relief suggests you need different or more intensive treatment. Talk to your provider.
nothing helps,"When nothing seems to help, it's time to try new approaches. What haven't you tried?"
tried everything,Sometimes we need to try things multiple times or in combinations. Don't give up.
out of options,"There are always more options, even when we can't see them. A professional can help identify them."
no hope left,Loss of hope is serious. Hope can return with support. Please reach out to a professional.
given up,Giving up means you're in crisis. Please call 988 or your therapist immediately.
cant see future,"Depression makes future seem impossible. This is a symptom, not reality. Please get help."
no future,You have a future. Depression distorts this. Reach out for help to see it again.
pointless to try,Feeling like trying is pointless indicates severe depression. You need immediate professional help.
why bother,Why bother? Because you matter and can feel better. Please reach out for support.
whats the use,The use is that you deserve to feel better. You can. Please don't give up.
feeling down,Thank you for sharing. Feeling down is difficult. Tell me more about what's happening.
feeling low,Thank you for sharing. Feeling low is difficult. Tell me more about what's happening.
feeling blue,Thank you for sharing. Feeling blue is difficult. Tell me more about what's happening.
feeling off,Thank you for sharing. Feeling off is difficult. Tell me more about what's happening.
feeling weird,Thank you for sharing. Feeling weird is difficult. Tell me more about what's happening.
feeling strange,Thank you for sharing. Feeling strange is difficult. Tell me more about what's happening.
feeling different,Thank you for sharing. Feeling different is difficult. Tell me more about what's happening.
feeling wrong,Thank you for sharing. Feeling wrong is difficult. Tell me more about what's happening.
feeling bad,Thank you for sharing. Feeling bad is difficult. Tell me more about what's happening.
feeling awful,Thank you for sharing. Feeling awful is difficult. Tell me more about what's happening.
feeling terrible,Thank you for sharing. Feeling terrible is difficult. Tell me more about what's happening.
feeling horrible,Thank you for sharing. Feeling horrible is difficult. Tell me more about what's happening.
i need help with anxiety,I'm here to support you with anxiety. What specifically would be most helpful?
i need help with depression,I'm here to support you with depression. What specifically would be most helpful?
i need help with stress,I'm here to support you with stress. What specifically would be most helpful?
i need help with sleep,I'm here to support you with sleep. What specifically would be most helpful?
i need help with worry,I'm here to support you with worry. What specifically would be most helpful?
i need help with fear,I'm here to support you with fear. What specifically would be most helpful?
i need help with sadness,I'm here to support you with sadness. What specifically would be most helpful?
i need help with anger,I'm here to support you with anger. What specifically would be most helpful?
i need help with grief,I'm here to support you with grief. What specifically would be most helpful?
i need help with trauma,I'm here to support you with trauma. What specifically would be most helpful?
i have panic attacks,Thank you for sharing about panic attacks. How long have you been experiencing this?
i have nightmares,Thank you for sharing about nightmares. How long have you been experiencing this?
i have flashbacks,Thank you for sharing about flashbacks. How long have you been experiencing this?
i have insomnia,Thank you for sharing about insomnia. How long have you been experiencing this?
i have headaches,Thank you for sharing about headaches. How long have you been experiencing this?
i have fatigue,Thank you for sharing about fatigue. How long have you been experiencing this?
i have low energy,Thank you for sharing about low energy. How long have you been experiencing this?
i have poor concentration,Thank you for sharing about poor concentration. How long have you been experiencing this?
i have memory problems,Thank you for sharing about memory problems. How long have you been experiencing this?
i have mood swings,Thank you for sharing about mood swings. How long have you been experiencing this?
struggling at work,Work struggles affect wellbeing. What's the main challenge at work?
school is overwhelming,Academic overwhelm is real. What specific aspect is most overwhelming?
cant focus on studies,Concentration problems interfere with academics. Addressing mental health often helps focus.
procrastinating everything,Procrastination often comes from anxiety or perfectionism. What makes it hard to start?
avoiding responsibilities,Avoidance provides short-term relief but increases long-term stress. What feels hardest to face?
hiding from people,Social withdrawal is common with depression and anxiety. What makes interaction hard?
canceling plans,Canceling plans might signal depression or social anxiety. What makes it hard to follow through?
making excuses,Making excuses to avoid things suggests anxiety or depression. What are you really avoiding?
lying about how im doing,Hiding struggles is exhausting. Who could you be honest with?
pretending im fine,The 'I'm fine' mask is heavy. What would happen if you were honest?
fake smile,Smiling through pain is exhausting. Where can you drop the mask?
hiding my pain,Hiding pain is isolating. Sharing it reduces its power. Who feels safe?
suffering in silence,Suffering alone makes it worse. Your pain deserves to be heard. Will you share it?
nobody knows,Keeping struggles secret is lonely. Who could you tell? What holds you back?
afraid to tell anyone,Fear of sharing is common. What's the worst you imagine happening if you do?
scared of judgment,Fear of judgment keeps us isolated. Most people are more understanding than we expect.
worried what people think,Others' opinions matter less than your wellbeing. What do YOU think you need?
dont want to burden,You're not a burden. People who care want to help. Let them.
dont want to bother,Your needs aren't bothersome. They're valid. People want to support you.
should handle this alone,'Should' is often based on unfair expectations. You don't have to do this alone.
weakness to ask for help,"Asking for help is strength and wisdom, not weakness. Strong people ask for help."
failed if i get help,"Seeking help is success, not failure. It takes courage and wisdom."
therapy is for weak people,Therapy is for anyone wanting to improve their life. It takes strength to go.
medication means im weak,Medication corrects brain chemistry. Would you judge someone with diabetes for taking insulin?
ashamed of mental illness,"Mental illness isn't shameful. It's a health condition, like any other."
embarrassed about depression,"Depression is medical, not character flaw. 1 in 5 people experience it."
hiding my anxiety,Hiding anxiety is exhausting. Talking about it reduces shame and helps management.
secret panic attacks,Secret panic attacks sound lonely. Sharing about them can help.
nobody knows i self harm,"Self-harm needs professional help. Please tell someone safe - a therapist, doctor, or trusted person."
hiding my struggles,Hiding struggles prevents getting help. What would make it safe to share?
living a lie,Hiding who you are or what you're experiencing is exhausting. Authenticity heals.
two different people,Presenting differently to different people is exhausting. Where can you be fully yourself?
exhausted from pretending,Pretending takes enormous energy. What would happen if you stopped?
tired of fighting,Fighting mental illness is exhausting. Rest isn't giving up. What do you need?
battle every day,Daily battles wear you down. You're a warrior. But warriors also need rest and support.
constant struggle,Constant struggle without relief is unsustainable. What changes would help?
never ending,"It feels never-ending, but conditions can improve with right support. Don't lose hope."
no relief,Lack of relief suggests you need different or more intensive treatment. Talk to your provider.
nothing helps,"When nothing seems to help, it's time to try new approaches. What haven't you tried?"
tried everything,Sometimes we need to try things multiple times or in combinations. Don't give up.
out of options,"There are always more options, even when we can't see them. A professional can help identify them."
no hope left,Loss of hope is serious. Hope can return with support. Please reach out to a professional.
given up,Giving up means you're in crisis. Please call 988 or your therapist immediately.
cant see future,"Depression makes future seem impossible. This is a symptom, not reality. Please get help."
no future,You have a future. Depression distorts this. Reach out for help to see it again.
pointless to try,Feeling like trying is pointless indicates severe depression. You need immediate professional help.
why bother,Why bother? Because you matter and can feel better. Please reach out for support.
whats the use,The use is that you deserve to feel better. You can. Please don't give up.
feeling down,Thank you for sharing. Feeling down is difficult. Tell me more about what's happening.
feeling low,Thank you for sharing. Feeling low is difficult. Tell me more about what's happening.
feeling blue,Thank you for sharing. Feeling blue is difficult. Tell me more about what's happening.
feeling off,Thank you for sharing. Feeling off is difficult. Tell me more about what's happening.
feeling weird,Thank you for sharing. Feeling weird is difficult. Tell me more about what's happening.
feeling strange,Thank you for sharing. Feeling strange is difficult. Tell me more about what's happening.
feeling different,Thank you for sharing. Feeling different is difficult. Tell me more about what's happening.
feeling wrong,Thank you for sharing. Feeling wrong is difficult. Tell me more about what's happening.
feeling bad,Thank you for sharing. Feeling bad is difficult. Tell me more about what's happening.
feeling awful,Thank you for sharing. Feeling awful is difficult. Tell me more about what's happening.
feeling terrible,Thank you for sharing. Feeling terrible is difficult. Tell me more about what's happening.
feeling horrible,Thank you for sharing. Feeling horrible is difficult. Tell me more about what's happening.
i need help with anxiety,I'm here to support you with anxiety. What specifically would be most helpful?
i need help with depression,I'm here to support you with depression. What specifically would be most helpful?
i need help with stress,I'm here to support you with stress. What specifically would be most helpful?
i need help with sleep,I'm here to support you with sleep. What specifically would be most helpful?
i need help with worry,I'm here to support you with worry. What specifically would be most helpful?
i need help with fear,I'm here to support you with fear. What specifically would be most helpful?
i need help with sadness,I'm here to support you with sadness. What specifically would be most helpful?
i need help with anger,I'm here to support you with anger. What specifically would be most helpful?
i need help with grief,I'm here to support you with grief. What specifically would be most helpful?
i need help with trauma,I'm here to support you with trauma. What specifically would be most helpful?
i have panic attacks,Thank you for sharing about panic attacks. How long have you been experiencing this?
i have nightmares,Thank you for sharing about nightmares. How long have you been experiencing this?
i have flashbacks,Thank you for sharing about flashbacks. How long have you been experiencing this?
i have insomnia,Thank you for sharing about insomnia. How long have you been experiencing this?
i have headaches,Thank you for sharing about headaches. How long have you been experiencing this?
i have fatigue,Thank you for sharing about fatigue. How long have you been experiencing this?
i have low energy,Thank you for sharing about low energy. How long have you been experiencing this?
i have poor concentration,Thank you for sharing about poor concentration. How long have you been experiencing this?
i have memory problems,Thank you for sharing about memory problems. How long have you been experiencing this?
i have mood swings,Thank you for sharing about mood swings. How long have you been experiencing this?
struggling at work,Work struggles affect wellbeing. What's the main challenge at work?
school is overwhelming,Academic overwhelm is real. What specific aspect is most overwhelming?
cant focus on studies,Concentration problems interfere with academics. Addressing mental health often helps focus.
procrastinating everything,Procrastination often comes from anxiety or perfectionism. What makes it hard to start?
avoiding responsibilities,Avoidance provides short-term relief but increases long-term stress. What feels hardest to face?
hiding from people,Social withdrawal is common with depression and anxiety. What makes interaction hard?
canceling plans,Canceling plans might signal depression or social anxiety. What makes it hard to follow through?
making excuses,Making excuses to avoid things suggests anxiety or depression. What are you really avoiding?
lying about how im doing,Hiding struggles is exhausting. Who could you be honest with?
pretending im fine,The 'I'm fine' mask is heavy. What would happen if you were honest?
fake smile,Smiling through pain is exhausting. Where can you drop the mask?
hiding my pain,Hiding pain is isolating. Sharing it reduces its power. Who feels safe?
suffering in silence,Suffering alone makes it worse. Your pain deserves to be heard. Will you share it?
nobody knows,Keeping struggles secret is lonely. Who could you tell? What holds you back?
afraid to tell anyone,Fear of sharing is common. What's the worst you imagine happening if you do?
scared of judgment,Fear of judgment keeps us isolated. Most people are more understanding than we expect.
worried what people think,Others' opinions matter less than your wellbeing. What do YOU think you need?
dont want to burden,You're not a burden. People who care want to help. Let them.
dont want to bother,Your needs aren't bothersome. They're valid. People want to support you.
should handle this alone,'Should' is often based on unfair expectations. You don't have to do this alone.
weakness to ask for help,"Asking for help is strength and wisdom, not weakness. Strong people ask for help."
failed if i get help,"Seeking help is success, not failure. It takes courage and wisdom."
therapy is for weak people,Therapy is for anyone wanting to improve their life. It takes strength to go.
medication means im weak,Medication corrects brain chemistry. Would you judge someone with diabetes for taking insulin?
ashamed of mental illness,"Mental illness isn't shameful. It's a health condition, like any other."
embarrassed about depression,"Depression is medical, not character flaw. 1 in 5 people experience it."
hiding my anxiety,Hiding anxiety is exhausting. Talking about it reduces shame and helps management.
secret panic attacks,Secret panic attacks sound lonely. Sharing about them can help.
nobody knows i self harm,"Self-harm needs professional help. Please tell someone safe - a therapist, doctor, or trusted person."
hiding my struggles,Hiding struggles prevents getting help. What would make it safe to share?
living a lie,Hiding who you are or what you're experiencing is exhausting. Authenticity heals.
two different people,Presenting differently to different people is exhausting. Where can you be fully yourself?
exhausted from pretending,Pretending takes enormous energy. What would happen if you stopped?
tired of fighting,Fighting mental illness is exhausting. Rest isn't giving up. What do you need?
battle every day,Daily battles wear you down. You're a warrior. But warriors also need rest and support.
constant struggle,Constant struggle without relief is unsustainable. What changes would help?
never ending,"It feels never-ending, but conditions can improve with right support. Don't lose hope."
no relief,Lack of relief suggests you need different or more intensive treatment. Talk to your provider.
nothing helps,"When nothing seems to help, it's time to try new approaches. What haven't you tried?"
tried everything,Sometimes we need to try things multiple times or in combinations. Don't give up.
out of options,"There are always more options, even when we can't see them. A professional can help identify them."
no hope left,Loss of hope is serious. Hope can return with support. Please reach out to a professional.
given up,Giving up means you're in crisis. Please call 988 or your therapist immediately.
cant see future,"Depression makes future seem impossible. This is a symptom, not reality. Please get help."
no future,You have a future. Depression distorts this. Reach out for help to see it again.
pointless to try,Feeling like trying is pointless indicates severe depression. You need immediate professional help.
why bother,Why bother? Because you matter and can feel better. Please reach out for support.
whats the use,The use is that you deserve to feel better. You can. Please don't give up.
feeling down,Thank you for sharing. Feeling down is difficult. Tell me more about what's happening.
feeling low,Thank you for sharing. Feeling low is difficult. Tell me more about what's happening.
feeling blue,Thank you for sharing. Feeling blue is difficult. Tell me more about what's happening.
feeling off,Thank you for sharing. Feeling off is difficult. Tell me more about what's happening.
feeling weird,Thank you for sharing. Feeling weird is difficult. Tell me more about what's happening.
feeling strange,Thank you for sharing. Feeling strange is difficult. Tell me more about what's happening.
feeling different,Thank you for sharing. Feeling different is difficult. Tell me more about what's happening.
feeling wrong,Thank you for sharing. Feeling wrong is difficult. Tell me more about what's happening.
feeling bad,Thank you for sharing. Feeling bad is difficult. Tell me more about what's happening.
feeling awful,Thank you for sharing. Feeling awful is difficult. Tell me more about what's happening.
feeling terrible,Thank you for sharing. Feeling terrible is difficult. Tell me more about what's happening.
feeling horrible,Thank you for sharing. Feeling horrible is difficult. Tell me more about what's happening.
i need help with anxiety,I'm here to support you with anxiety. What specifically would be most helpful?
i need help with depression,I'm here to support you with depression. What specifically would be most helpful?
i need help with stress,I'm here to support you with stress. What specifically would be most helpful?
i need help with sleep,I'm here to support you with sleep. What specifically would be most helpful?
i need help with worry,I'm here to support you with worry. What specifically would be most helpful?
i need help with fear,I'm here to support you with fear. What specifically would be most helpful?
i need help with sadness,I'm here to support you with sadness. What specifically would be most helpful?
i need help with anger,I'm here to support you with anger. What specifically would be most helpful?
i need help with grief,I'm here to support you with grief. What specifically would be most helpful?
i need help with trauma,I'm here to support you with trauma. What specifically would be most helpful?
i have panic attacks,Thank you for sharing about panic attacks. How long have you been experiencing this?
i have nightmares,Thank you for sharing about nightmares. How long have you been experiencing this?
i have flashbacks,Thank you for sharing about flashbacks. How long have you been experiencing this?
i have insomnia,Thank you for sharing about insomnia. How long have you been experiencing this?
i have headaches,Thank you for sharing about headaches. How long have you been experiencing this?
i have fatigue,Thank you for sharing about fatigue. How long have you been experiencing this?
i have low energy,Thank you for sharing about low energy. How long have you been experiencing this?
i have poor concentration,Thank you for sharing about poor concentration. How long have you been experiencing this?
i have memory problems,Thank you for sharing about memory problems. How long have you been experiencing this?
i have mood swings,Thank you for sharing about mood swings. How long have you been experiencing this?
struggling at work,Work struggles affect wellbeing. What's the main challenge at work?
school is overwhelming,Academic overwhelm is real. What specific aspect is most overwhelming?
cant focus on studies,Concentration problems interfere with academics. Addressing mental health often helps focus.
procrastinating everything,Procrastination often comes from anxiety or perfectionism. What makes it hard to start?
avoiding responsibilities,Avoidance provides short-term relief but increases long-term stress. What feels hardest to face?
hiding from people,Social withdrawal is common with depression and anxiety. What makes interaction hard?
canceling plans,Canceling plans might signal depression or social anxiety. What makes it hard to follow through?
making excuses,Making excuses to avoid things suggests anxiety or depression. What are you really avoiding?
lying about how im doing,Hiding struggles is exhausting. Who could you be honest with?
pretending im fine,The 'I'm fine' mask is heavy. What would happen if you were honest?
fake smile,Smiling through pain is exhausting. Where can you drop the mask?
hiding my pain,Hiding pain is isolating. Sharing it reduces its power. Who feels safe?
suffering in silence,Suffering alone makes it worse. Your pain deserves to be heard. Will you share it?
nobody knows,Keeping struggles secret is lonely. Who could you tell? What holds you back?
afraid to tell anyone,Fear of sharing is common. What's the worst you imagine happening if you do?
scared of judgment,Fear of judgment keeps us isolated. Most people are more understanding than we expect.
worried what people think,Others' opinions matter less than your wellbeing. What do YOU think you need?
dont want to burden,You're not a burden. People who care want to help. Let them.
dont want to bother,Your needs aren't bothersome. They're valid. People want to support you.
should handle this alone,'Should' is often based on unfair expectations. You don't have to do this alone.
weakness to ask for help,"Asking for help is strength and wisdom, not weakness. Strong people ask for help."
failed if i get help,"Seeking help is success, not failure. It takes courage and wisdom."
therapy is for weak people,Therapy is for anyone wanting to improve their life. It takes strength to go.
medication means im weak,Medication corrects brain chemistry. Would you judge someone with diabetes for taking insulin?
ashamed of mental illness,"Mental illness isn't shameful. It's a health condition, like any other."
embarrassed about depression,"Depression is medical, not character flaw. 1 in 5 people experience it."
hiding my anxiety,Hiding anxiety is exhausting. Talking about it reduces shame and helps management.
secret panic attacks,Secret panic attacks sound lonely. Sharing about them can help.
nobody knows i self harm,"Self-harm needs professional help. Please tell someone safe - a therapist, doctor, or trusted person."
hiding my struggles,Hiding struggles prevents getting help. What would make it safe to share?
living a lie,Hiding who you are or what you're experiencing is exhausting. Authenticity heals.
two different people,Presenting differently to different people is exhausting. Where can you be fully yourself?
exhausted from pretending,Pretending takes enormous energy. What would happen if you stopped?
tired of fighting,Fighting mental illness is exhausting. Rest isn't giving up. What do you need?
battle every day,Daily battles wear you down. You're a warrior. But warriors also need rest and support.
constant struggle,Constant struggle without relief is unsustainable. What changes would help?
never ending,"It feels never-ending, but conditions can improve with right support. Don't lose hope."
no relief,Lack of relief suggests you need different or more intensive treatment. Talk to your provider.
nothing helps,"When nothing seems to help, it's time to try new approaches. What haven't you tried?"
tried everything,Sometimes we need to try things multiple times or in combinations. Don't give up.
out of options,"There are always more options, even when we can't see them. A professional can help identify them."
no hope left,Loss of hope is serious. Hope can return with support. Please reach out to a professional.
given up,Giving up means you're in crisis. Please call 988 or your therapist immediately.
cant see future,"Depression makes future seem impossible. This is a symptom, not reality. Please get help."
no future,You have a future. Depression distorts this. Reach out for help to see it again.
pointless to try,Feeling like trying is pointless indicates severe depression. You need immediate professional help.
why bother,Why bother? Because you matter and can feel better. Please reach out for support.
whats the use,The use is that you deserve to feel better. You can. Please don't give up.
feeling down,Thank you for sharing. Feeling down is difficult. Tell me more about what's happening.
feeling low,Thank you for sharing. Feeling low is difficult. Tell me more about what's happening.
feeling blue,Thank you for sharing. Feeling blue is difficult. Tell me more about what's happening.
feeling off,Thank you for sharing. Feeling off is difficult. Tell me more about what's happening.
feeling weird,Thank you for sharing. Feeling weird is difficult. Tell me more about what's happening.
feeling strange,Thank you for sharing. Feeling strange is difficult. Tell me more about what's happening.
feeling different,Thank you for sharing. Feeling different is difficult. Tell me more about what's happening.
feeling wrong,Thank you for sharing. Feeling wrong is difficult. Tell me more about what's happening.
feeling bad,Thank you for sharing. Feeling bad is difficult. Tell me more about what's happening.
feeling awful,Thank you for sharing. Feeling awful is difficult. Tell me more about what's happening.
feeling terrible,Thank you for sharing. Feeling terrible is difficult. Tell me more about what's happening.
feeling horrible,Thank you for sharing. Feeling horrible is difficult. Tell me more about what's happening.
i need help with anxiety,I'm here to support you with anxiety. What specifically would be most helpful?
i need help with depression,I'm here to support you with depression. What specifically would be most helpful?
i need help with stress,I'm here to support you with stress. What specifically would be most helpful?
i need help with sleep,I'm here to support you with sleep. What specifically would be most helpful?
i need help with worry,I'm here to support you with worry. What specifically would be most helpful?
i need help with fear,I'm here to support you with fear. What specifically would be most helpful?
i need help with sadness,I'm here to support you with sadness. What specifically would be most helpful?
i need help with anger,I'm here to support you with anger. What specifically would be most helpful?
i need help with grief,I'm here to support you with grief. What specifically would be most helpful?
i need help with trauma,I'm here to support you with trauma. What specifically would be most helpful?
i have panic attacks,Thank you for sharing about panic attacks. How long have you been experiencing this?
i have nightmares,Thank you for sharing about nightmares. How long have you been experiencing this?
i have flashbacks,Thank you for sharing about flashbacks. How long have you been experiencing this?
i have insomnia,Thank you for sharing about insomnia. How long have you been experiencing this?
i have headaches,Thank you for sharing about headaches. How long have you been experiencing this?
i have fatigue,Thank you for sharing about fatigue. How long have you been experiencing this?
i have low energy,Thank you for sharing about low energy. How long have you been experiencing this?
i have poor concentration,Thank you for sharing about poor concentration. How long have you been experiencing this?
i have memory problems,Thank you for sharing about memory problems. How long have you been experiencing this?
i have mood swings,Thank you for sharing about mood swings. How long have you been experiencing this?
struggling at work,Work struggles affect wellbeing. What's the main challenge at work?
school is overwhelming,Academic overwhelm is real. What specific aspect is most overwhelming?
cant focus on studies,Concentration problems interfere with academics. Addressing mental health often helps focus.
procrastinating everything,Procrastination often comes from anxiety or perfectionism. What makes it hard to start?
avoiding responsibilities,Avoidance provides short-term relief but increases long-term stress. What feels hardest to face?
hiding from people,Social withdrawal is common with depression and anxiety. What makes interaction hard?
canceling plans,Canceling plans might signal depression or social anxiety. What makes it hard to follow through?
making excuses,Making excuses to avoid things suggests anxiety or depression. What are you really avoiding?
lying about how im doing,Hiding struggles is exhausting. Who could you be honest with?
pretending im fine,The 'I'm fine' mask is heavy. What would happen if you were honest?
fake smile,Smiling through pain is exhausting. Where can you drop the mask?
hiding my pain,Hiding pain is isolating. Sharing it reduces its power. Who feels safe?
suffering in silence,Suffering alone makes it worse. Your pain deserves to be heard. Will you share it?
nobody knows,Keeping struggles secret is lonely. Who could you tell? What holds you back?
afraid to tell anyone,Fear of sharing is common. What's the worst you imagine happening if you do?
scared of judgment,Fear of judgment keeps us isolated. Most people are more understanding than we expect.
worried what people think,Others' opinions matter less than your wellbeing. What do YOU think you need?
dont want to burden,You're not a burden. People who care want to help. Let them.
dont want to bother,Your needs aren't bothersome. They're valid. People want to support you.
should handle this alone,'Should' is often based on unfair expectations. You don't have to do this alone.
weakness to ask for help,"Asking for help is strength and wisdom, not weakness. Strong people ask for help."
failed if i get help,"Seeking help is success, not failure. It takes courage and wisdom."
therapy is for weak people,Therapy is for anyone wanting to improve their life. It takes strength to go.
medication means im weak,Medication corrects brain chemistry. Would you judge someone with diabetes for taking insulin?
ashamed of mental illness,"Mental illness isn't shameful. It's a health condition, like any other."
embarrassed about depression,"Depression is medical, not character flaw. 1 in 5 people experience it."
hiding my anxiety,Hiding anxiety is exhausting. Talking about it reduces shame and helps management.
secret panic attacks,Secret panic attacks sound lonely. Sharing about them can help.
nobody knows i self harm,"Self-harm needs professional help. Please tell someone safe - a therapist, doctor, or trusted person."
hiding my struggles,Hiding struggles prevents getting help. What would make it safe to share?
living a lie,Hiding who you are or what you're experiencing is exhausting. Authenticity heals.
two different people,Presenting differently to different people is exhausting. Where can you be fully yourself?
exhausted from pretending,Pretending takes enormous energy. What would happen if you stopped?
tired of fighting,Fighting mental illness is exhausting. Rest isn't giving up. What do you need?
battle every day,Daily battles wear you down. You're a warrior. But warriors also need rest and support.
constant struggle,Constant struggle without relief is unsustainable. What changes would help?
never ending,"It feels never-ending, but conditions can improve with right support. Don't lose hope."
no relief,Lack of relief suggests you need different or more intensive treatment. Talk to your provider.
nothing helps,"When nothing seems to help, it's time to try new approaches. What haven't you tried?"
tried everything,Sometimes we need to try things multiple times or in combinations. Don't give up.
out of options,"There are always more options, even when we can't see them. A professional can help identify them."
no hope left,Loss of hope is serious. Hope can return with support. Please reach out to a professional.
given up,Giving up means you're in crisis. Please call 988 or your therapist immediately.
cant see future,"Depression makes future seem impossible. This is a symptom, not reality. Please get help."
no future,You have a future. Depression distorts this. Reach out for help to see it again.
pointless to try,Feeling like trying is pointless indicates severe depression. You need immediate professional help.
why bother,Why bother? Because you matter and can feel better. Please reach out for support.
whats the use,The use is that you deserve to feel better. You can. Please don't give up.
feeling down,Thank you for sharing. Feeling down is difficult. Tell me more about what's happening.
feeling low,Thank you for sharing. Feeling low is difficult. Tell me more about what's happening.
feeling blue,Thank you for sharing. Feeling blue is difficult. Tell me more about what's happening.
feeling off,Thank you for sharing. Feeling off is difficult. Tell me more about what's happening.
feeling weird,Thank you for sharing. Feeling weird is difficult. Tell me more about what's happening.
